pl_name,disc_year,discoverymethod
"HD 76700 b",2002,"Radial Velocity"
"OGLE-TR-56 b",2002,"Transit"
"HD 12661 c",2002,"Radial Velocity"
"iot Dra b",2002,"Radial Velocity"
"HD 216435 b",2002,"Radial Velocity"
"HD 47536 b",2002,"Radial Velocity"
"HD 114729 b",2002,"Radial Velocity"
"HD 128311 b",2002,"Radial Velocity"
"HD 168746 b",2002,"Radial Velocity"
"HD 2039 b",2002,"Radial Velocity"
"HD 37124 b",2002,"Radial Velocity"
"HD 37124 c",2002,"Radial Velocity"
"HD 83443 b",2002,"Radial Velocity"
"HD 108147 b",2002,"Radial Velocity"
"HD 108874 b",2002,"Radial Velocity"
"HD 162020 b",2002,"Radial Velocity"
"HD 196050 b",2002,"Radial Velocity"
"HD 40979 b",2002,"Radial Velocity"
"HD 141937 b",2002,"Radial Velocity"
"55 Cnc d",2002,"Radial Velocity"
"14 Her b",2002,"Radial Velocity"
"HD 8574 b",2002,"Radial Velocity"
"HD 106252 b",2002,"Radial Velocity"
"HD 73526 b",2002,"Radial Velocity"
"HD 49674 b",2002,"Radial Velocity"
"HD 50554 b",2002,"Radial Velocity"
"HD 121504 b",2003,"Radial Velocity"
"HD 23596 b",2003,"Radial Velocity"
"PSR B1620-26 b",2003,"Pulsar Timing"
"HD 82943 c",2003,"Radial Velocity"
"HD 70642 b",2003,"Radial Velocity"
"HD 114386 b",2003,"Radial Velocity"
"HD 147513 b",2003,"Radial Velocity"
"HD 169830 c",2003,"Radial Velocity"
"HD 19994 b",2003,"Radial Velocity"
"HD 3651 b",2003,"Radial Velocity"
"HD 216770 b",2003,"Radial Velocity"
"HD 65216 b",2003,"Radial Velocity"
"HD 82943 b",2003,"Radial Velocity"
"HD 6434 b",2003,"Radial Velocity"
"HD 111232 b",2003,"Radial Velocity"
"HD 190360 b",2003,"Radial Velocity"
"HD 142415 b",2003,"Radial Velocity"
"HD 104985 b",2003,"Radial Velocity"
"HD 41004 B b",2003,"Radial Velocity"
"HD 74156 c",2003,"Radial Velocity"
"HD 74156 b",2003,"Radial Velocity"
"gam Cep b",2003,"Radial Velocity"
"OGLE-TR-10 b",2004,"Transit"
"HD 37605 b",2004,"Radial Velocity"
"OGLE-TR-132 b",2004,"Transit"
"HD 88133 b",2004,"Radial Velocity"
"HD 160691 c",2004,"Radial Velocity"
"55 Cnc e",2004,"Radial Velocity"
"OGLE-TR-111 b",2004,"Transit"
"TrES-1 b",2004,"Transit"
"HD 202206 c",2004,"Radial Velocity"
"55 Cnc c",2004,"Radial Velocity"
"HD 41004 A b",2004,"Radial Velocity"
"OGLE-2003-BLG-235L b",2004,"Microlensing"
"HD 154857 b",2004,"Radial Velocity"
"HD 188015 b",2004,"Radial Velocity"
"HD 117207 b",2004,"Radial Velocity"
"HD 45350 b",2004,"Radial Velocity"
"DH Tau b",2004,"Imaging"
"HD 117618 b",2004,"Radial Velocity"
"2MASS J12073346-3932539 b",2004,"Imaging"
"HD 99492 b",2004,"Radial Velocity"
"HD 160691 d",2004,"Radial Velocity"
"OGLE-TR-113 b",2004,"Transit"
"HD 183263 b",2004,"Radial Velocity"
"HD 330075 b",2004,"Radial Velocity"
"GQ Lup b",2004,"Imaging"
"GJ 436 b",2004,"Radial Velocity"
"HD 208487 b",2004,"Radial Velocity"
"HD 128311 c",2005,"Radial Velocity"
"HD 212301 b",2005,"Radial Velocity"
"HD 102117 b",2005,"Radial Velocity"
"HD 27894 b",2005,"Radial Velocity"
"HD 33564 b",2005,"Radial Velocity"
"HD 107148 b",2005,"Radial Velocity"
"HD 109749 b",2005,"Radial Velocity"
"HD 66428 b",2005,"Radial Velocity"
"HD 11977 b",2005,"Radial Velocity"
"HD 142022 A b",2005,"Radial Velocity"
"HD 164922 b",2005,"Radial Velocity"
"HIP 14810 b",2005,"Radial Velocity"
"HD 13189 b",2005,"Radial Velocity"
"HD 4308 b",2005,"Radial Velocity"
"HD 63454 b",2005,"Radial Velocity"
"HD 50499 b",2005,"Radial Velocity"
"HD 217107 c",2005,"Radial Velocity"
"HD 149026 b",2005,"Radial Velocity"
"HD 2638 b",2005,"Radial Velocity"
"HD 189733 b",2005,"Radial Velocity"
"HD 37124 d",2005,"Radial Velocity"
"OGLE-2005-BLG-071L b",2005,"Microlensing"
"HD 101930 b",2005,"Radial Velocity"
"GJ 876 d",2005,"Radial Velocity"
"HD 118203 b",2005,"Radial Velocity"
"OGLE-2005-BLG-390L b",2005,"Microlensing"
"HD 11964 b",2005,"Radial Velocity"
"HD 99109 b",2005,"Radial Velocity"
"HD 108874 c",2005,"Radial Velocity"
"HD 81040 b",2005,"Radial Velocity"
"HD 190360 c",2005,"Radial Velocity"
"HD 149143 b",2005,"Radial Velocity"
"GJ 581 b",2005,"Radial Velocity"
"AB Pic b",2005,"Imaging"
"HD 73526 c",2005,"Radial Velocity"
"HD 93083 b",2005,"Radial Velocity"
"XO-1 b",2006,"Transit"
"HD 23127 b",2006,"Radial Velocity"
"HD 154345 b",2006,"Radial Velocity"
"CHXR 73 b",2006,"Imaging"
"HD 160691 e",2006,"Radial Velocity"
"eps Tau b",2006,"Radial Velocity"
"HD 102195 b",2006,"Radial Velocity"
"HD 33283 b",2006,"Radial Velocity"
"HAT-P-1 b",2006,"Transit"
"4 UMa b",2006,"Radial Velocity"
"HD 20782 b",2006,"Radial Velocity"
"OGLE-2005-BLG-169L b",2006,"Microlensing"
"SWEEPS-4 b",2006,"Transit"
"TrES-2 b",2006,"Transit"
"HD 24040 b",2006,"Radial Velocity"
"HN Peg b",2006,"Imaging"
"HD 224693 b",2006,"Radial Velocity"
"HD 10647 b",2006,"Radial Velocity"
"HD 159868 b",2006,"Radial Velocity"
"HD 86081 b",2006,"Radial Velocity"
"GJ 849 b",2006,"Radial Velocity"
"HD 69830 c",2006,"Radial Velocity"
"HD 69830 d",2006,"Radial Velocity"
"HIP 14810 c",2006,"Radial Velocity"
"Oph 11 b",2006,"Imaging"
"SWEEPS-11 b",2006,"Transit"
"HD 185269 b",2006,"Radial Velocity"
"HD 69830 b",2006,"Radial Velocity"
"HD 203030 b",2006,"Imaging"
"HD 62509 b",2006,"Radial Velocity"
"HD 187085 b",2006,"Radial Velocity"
"OGLE-TR-182 b",2007,"Transit"
"BD-13 2130 b",2007,"Radial Velocity"
"HD 175541 b",2007,"Radial Velocity"
"HD 167042 b",2007,"Radial Velocity"
"WASP-1 b",2007,"Transit"
"HD 171028 b",2007,"Radial Velocity"
"HAT-P-6 b",2007,"Transit"
"HD 11506 b",2007,"Radial Velocity"
"HD 70573 b",2007,"Radial Velocity"
"11 Com b",2007,"Radial Velocity"
"V0391 Peg b",2007,"Pulsation Timing Variations"
"WASP-3 b",2007,"Transit"
"kap CrB b",2007,"Radial Velocity"
"HD 125612 b",2007,"Radial Velocity"
"XO-2 N b",2007,"Transit"
"WASP-2 b",2007,"Transit"
"WASP-4 b",2007,"Transit"
"HD 155358 c",2007,"Radial Velocity"
"HD 156846 b",2007,"Radial Velocity"
"HD 196885 A b",2007,"Radial Velocity"
"HD 170469 b",2007,"Radial Velocity"
"HD 17092 b",2007,"Radial Velocity"
"HAT-P-3 b",2007,"Transit"
"HAT-P-5 b",2007,"Transit"
"CT Cha b",2007,"Imaging"
"HD 192699 b",2007,"Radial Velocity"
"HD 219828 b",2007,"Radial Velocity"
"HD 4113 b",2007,"Radial Velocity"
"HD 43691 b",2007,"Radial Velocity"
"HD 5319 b",2007,"Radial Velocity"
"Lupus-TR-3 b",2007,"Transit"
"TrES-3 b",2007,"Transit"
"HD 231701 b",2007,"Radial Velocity"
"HD 81688 b",2007,"Radial Velocity"
"HD 132406 b",2007,"Radial Velocity"
"HD 221287 b",2007,"Radial Velocity"
"GJ 317 b",2007,"Radial Velocity"
"GJ 581 c",2007,"Radial Velocity"
"HD 100777 b",2007,"Radial Velocity"
"XO-3 b",2007,"Transit"
"xi Aql b",2007,"Radial Velocity"
"HAT-P-4 b",2007,"Transit"
"OGLE-TR-211 b",2007,"Transit"
"HD 17156 b",2007,"Radial Velocity"
"HAT-P-2 b",2007,"Transit"
"HD 155358 b",2007,"Radial Velocity"
"HD 75898 b",2007,"Radial Velocity"
"GJ 674 b",2007,"Radial Velocity"
"HD 190647 b",2007,"Radial Velocity"
"HD 210702 b",2007,"Radial Velocity"
"55 Cnc f",2007,"Radial Velocity"
"TrES-4 b",2007,"Transit"
"HD 102272 b",2008,"Radial Velocity"
"BD-17 63 b",2008,"Radial Velocity"
"HD 139357 b",2008,"Radial Velocity"
"14 And b",2008,"Radial Velocity"
"USco CTIO 108 b",2008,"Imaging"
"GJ 832 b",2008,"Radial Velocity"
"HD 60532 c",2008,"Radial Velocity"
"18 Del b",2008,"Radial Velocity"
"1RXS J160929.1-210524 b",2008,"Imaging"
"HD 131664 b",2008,"Radial Velocity"
"HD 45652 b",2008,"Radial Velocity"
"HD 73267 b",2008,"Radial Velocity"
"OGLE-2006-BLG-109L b",2008,"Microlensing"
"CoRoT-4 b",2008,"Transit"
"WASP-14 b",2008,"Transit"
"XO-4 b",2008,"Transit"
"HD 16417 b",2008,"Radial Velocity"
"HD 181433 c",2008,"Radial Velocity"
"HD 285968 b",2008,"Radial Velocity"
"HAT-P-11 b",2008,"Transit"
"HAT-P-9 b",2008,"Transit"
"6 Lyn b",2008,"Radial Velocity"
"CoRoT-3 b",2008,"Transit"
"WASP-7 b",2008,"Transit"
"HD 47186 c",2008,"Radial Velocity"
"MOA-2007-BLG-192L b",2008,"Microlensing"
"OGLE-2006-BLG-109L c",2008,"Microlensing"
"WASP-10 b",2008,"Transit"
"bet Pic b",2008,"Imaging"
"WASP-5 b",2008,"Transit"
"HD 7924 b",2008,"Radial Velocity"
"HD 154672 b",2008,"Radial Velocity"
"HD 153950 b",2008,"Radial Velocity"
"HD 11964 c",2008,"Radial Velocity"
"81 Cet b",2008,"Radial Velocity"
"HAT-P-7 b",2008,"Transit"
"HAT-P-8 b",2008,"Transit"
"HR 8799 b",2008,"Imaging"
"HR 8799 d",2008,"Imaging"
"HD 47186 b",2008,"Radial Velocity"
"HD 60532 b",2008,"Radial Velocity"
"HD 11506 c",2008,"Radial Velocity"
"CoRoT-1 b",2008,"Transit"
"HD 143361 b",2008,"Radial Velocity"
"HD 145377 b",2008,"Radial Velocity"
"HD 181433 d",2008,"Radial Velocity"
"FU Tau b",2008,"Imaging"
"WASP-11 b",2008,"Transit"
"MOA-2007-BLG-400L b",2008,"Microlensing"
"HD 179079 b",2008,"Radial Velocity"
"HD 183263 c",2008,"Radial Velocity"
"HR 8799 c",2008,"Imaging"
"HD 48265 b",2008,"Radial Velocity"
"OGLE2-TR-L9 b",2008,"Transit"
"WASP-12 b",2008,"Transit"
"HD 181433 b",2008,"Radial Velocity"
"HD 187123 c",2008,"Radial Velocity"
"HD 205739 b",2008,"Radial Velocity"
"HD 20868 b",2008,"Radial Velocity"
"HD 45364 c",2008,"Radial Velocity"
"HD 73534 b",2008,"Radial Velocity"
"HD 45364 b",2008,"Radial Velocity"
"CoRoT-2 b",2008,"Transit"
"HD 173416 b",2008,"Radial Velocity"
"XO-5 b",2008,"Transit"
"42 Dra b",2008,"Radial Velocity"
"BD+14 4559 b",2009,"Radial Velocity"
"WASP-13 b",2009,"Transit"
"MOA-2008-BLG-310L b",2009,"Microlensing"
"47 UMa d",2009,"Radial Velocity"
"HD 190984 b",2009,"Radial Velocity"
"HD 125595 b",2009,"Radial Velocity"
"HD 212771 b",2009,"Radial Velocity"
"HD 147018 b",2009,"Radial Velocity"
"HIP 79431 b",2009,"Radial Velocity"
"HIP 5158 b",2009,"Radial Velocity"
"HD 89307 b",2009,"Radial Velocity"
"HD 90156 b",2009,"Radial Velocity"
"HD 95089 b",2009,"Radial Velocity"
"HIP 70849 b",2009,"Radial Velocity"
"HD 206610 b",2009,"Radial Velocity"
"WASP-16 b",2009,"Transit"
"Kepler-6 b",2009,"Transit"
"HD 181342 b",2009,"Radial Velocity"
"HD 290327 b",2009,"Radial Velocity"
"HD 30562 b",2009,"Radial Velocity"
"HD 4313 b",2009,"Radial Velocity"
"HD 40307 b",2009,"Radial Velocity"
"30 Ari B b",2009,"Radial Velocity"
"HD 171238 b",2009,"Radial Velocity"
"61 Vir c",2009,"Radial Velocity"
"BD-08 2823 b",2009,"Radial Velocity"
"HAT-P-12 b",2009,"Transit"
"HAT-P-13 c",2009,"Radial Velocity"
"HD 110014 b",2009,"Radial Velocity"
"HD 40307 d",2009,"Radial Velocity"
"HD 215497 b",2009,"Radial Velocity"
"Kepler-7 b",2009,"Transit"
"11 UMi b",2009,"Radial Velocity"
"HD 215497 c",2009,"Radial Velocity"
"BD-08 2823 c",2009,"Radial Velocity"
"HD 6718 b",2009,"Radial Velocity"
"BD+20 2457 c",2009,"Radial Velocity"
"CoRoT-5 b",2009,"Transit"
"gam 1 Leo b",2009,"Radial Velocity"
"2MASS J21402931+1625183 A b",2009,"Imaging"
"GJ 179 b",2009,"Radial Velocity"
"HAT-P-13 b",2009,"Transit"
"HD 125612 c",2009,"Radial Velocity"
"HD 175167 b",2009,"Radial Velocity"
"HD 9446 c",2009,"Radial Velocity"
"OGLE-2007-BLG-368L b",2009,"Microlensing"
"HD 13931 b",2009,"Radial Velocity"
"HD 40307 c",2009,"Radial Velocity"
"HD 96167 b",2009,"Radial Velocity"
"HD 85390 b",2009,"Radial Velocity"
"WASP-6 b",2009,"Transit"
"HIP 14810 d",2009,"Radial Velocity"
"HD 63765 b",2009,"Radial Velocity"
"WASP-18 b",2009,"Transit"
"WASP-19 b",2009,"Transit"
"Kepler-4 b",2009,"Transit"
"HD 103197 b",2009,"Radial Velocity"
"HD 129445 b",2009,"Radial Velocity"
"HD 156411 b",2009,"Radial Velocity"
"HD 180902 b",2009,"Radial Velocity"
"HD 34445 b",2009,"Radial Velocity"
"GJ 581 e",2009,"Radial Velocity"
"HD 8673 b",2009,"Radial Velocity"
"CoRoT-6 b",2009,"Transit"
"CoRoT-7 b",2009,"Transit"
"CoRoT-9 b",2009,"Transit"
"WASP-15 b",2009,"Transit"
"WASP-17 b",2009,"Transit"
"GJ 1214 b",2009,"Transit"
"HD 181720 b",2009,"Radial Velocity"
"HD 38801 b",2009,"Radial Velocity"
"HD 32518 b",2009,"Radial Velocity"
"Kepler-5 b",2009,"Transit"
"GJ 649 b",2009,"Radial Velocity"
"HD 9446 b",2009,"Radial Velocity"
"HD 152079 b",2009,"Radial Velocity"
"HD 16175 b",2009,"Radial Velocity"
"HD 164604 b",2009,"Radial Velocity"
"HD 147018 c",2009,"Radial Velocity"
"HD 148156 b",2009,"Radial Velocity"
"CoRoT-7 c",2009,"Radial Velocity"
"61 Vir d",2009,"Radial Velocity"
"61 Vir b",2009,"Radial Velocity"
"DP Leo b",2009,"Eclipse Timing Variations"
"HD 240210 b",2009,"Radial Velocity"
"HD 125612 d",2009,"Radial Velocity"
"HD 134987 c",2009,"Radial Velocity"
"HD 136418 b",2009,"Radial Velocity"
"HD 126614 b",2009,"Radial Velocity"
"HD 104067 b",2009,"Radial Velocity"
"HD 148427 b",2009,"Radial Velocity"
"HD 87883 b",2009,"Radial Velocity"
"BD+20 2457 b",2009,"Radial Velocity"
"HD 86226 b",2009,"Radial Velocity"
"HD 86264 b",2009,"Radial Velocity"
"Kepler-9 b",2010,"Transit"
"WASP-32 b",2010,"Transit"
"WASP-22 b",2010,"Transit"
"HAT-P-17 c",2010,"Radial Velocity"
"HAT-P-20 b",2010,"Transit"
"HD 177830 c",2010,"Radial Velocity"
"HD 10180 c",2010,"Radial Velocity"
"HD 204313 b",2010,"Radial Velocity"
"HD 113538 b",2010,"Radial Velocity"
"HD 109246 b",2010,"Radial Velocity"
"KOI-217 b",2010,"Transit"
"HD 164509 b",2010,"Radial Velocity"
"Kepler-9 c",2010,"Transit"
"HD 10180 f",2010,"Radial Velocity"
"HD 10180 g",2010,"Radial Velocity"
"HD 102365 b",2010,"Radial Velocity"
"HD 28254 b",2010,"Radial Velocity"
"HD 31253 b",2010,"Radial Velocity"
"SR 12 AB c",2010,"Imaging"
"GJ 3634 b",2010,"Radial Velocity"
"GJ 876 e",2010,"Radial Velocity"
"GSC 06214-00210 b",2010,"Imaging"
"HAT-P-19 b",2010,"Transit"
"HD 200964 c",2010,"Radial Velocity"
"HAT-P-22 b",2010,"Transit"
"HAT-P-15 b",2010,"Transit"
"HIP 12961 b",2010,"Radial Velocity"
"24 Sex b",2010,"Radial Velocity"
"24 Sex c",2010,"Radial Velocity"
"CoRoT-14 b",2010,"Transit"
"HAT-P-14 b",2010,"Transit"
"HD 10180 d",2010,"Radial Velocity"
"CoRoT-13 b",2010,"Transit"
"HIP 78530 b",2010,"Imaging"
"WASP-34 b",2010,"Transit"
"HD 43197 b",2010,"Radial Velocity"
"HAT-P-21 b",2010,"Transit"
"Kepler-11 f",2010,"Transit"
"HD 180314 b",2010,"Radial Velocity"
"WASP-23 b",2010,"Transit"
"WASP-26 b",2010,"Transit"
"CoRoT-8 b",2010,"Transit"
"HD 1461 b",2010,"Radial Velocity"
"HAT-P-24 b",2010,"Transit"
"Kepler-11 b",2010,"Transit"
"GJ 1148 b",2010,"Radial Velocity"
"WASP-29 b",2010,"Transit"
"GJ 676 A b",2010,"Radial Velocity"
"alf Ari b",2010,"Radial Velocity"
"CoRoT-12 b",2010,"Transit"
"HD 145457 b",2010,"Radial Velocity"
"WASP-24 b",2010,"Transit"
"HD 10180 e",2010,"Radial Velocity"
"WASP-21 b",2010,"Transit"
"HD 102956 b",2010,"Radial Velocity"
"HAT-P-16 b",2010,"Transit"
"MOA-2009-BLG-387L b",2010,"Microlensing"
"Qatar-1 b",2010,"Transit"
"HD 163607 b",2010,"Radial Velocity"
"Ross 458 c",2010,"Imaging"
"NN Ser c",2010,"Eclipse Timing Variations"
"WASP-31 b",2010,"Transit"
"WASP-33 b",2010,"Transit"
"WASP-37 b",2010,"Transit"
"CoRoT-11 b",2010,"Transit"
"Kepler-40 b",2010,"Transit"
"HD 10180 h",2010,"Radial Velocity"
"HD 156668 b",2010,"Radial Velocity"
"HD 200964 b",2010,"Radial Velocity"
"HD 1690 b",2010,"Radial Velocity"
"2MASS J04414489+2301513 b",2010,"Imaging"
"HAT-P-25 b",2010,"Transit"
"HAT-P-18 b",2010,"Transit"
"HAT-P-23 b",2010,"Transit"
"HAT-P-26 b",2010,"Transit"
"WASP-25 b",2010,"Transit"
"WASP-8 b",2010,"Transit"
"MOA-2009-BLG-319L b",2010,"Microlensing"
"NN Ser d",2010,"Eclipse Timing Variations"
"WASP-38 b",2010,"Transit"
"HD 25171 b",2010,"Radial Velocity"
"Kepler-11 e",2010,"Transit"
"HD 163607 c",2010,"Radial Velocity"
"HD 113538 c",2010,"Radial Velocity"
"HD 38283 b",2010,"Radial Velocity"
"HR 8799 e",2010,"Imaging"
"Kepler-11 g",2010,"Transit"
"Kepler-11 d",2010,"Transit"
"Kepler-11 c",2010,"Transit"
"HD 218566 b",2010,"Radial Velocity"
"CoRoT-10 b",2010,"Transit"
"HAT-P-17 b",2010,"Transit"
"HD 8535 b",2010,"Radial Velocity"
"HD 44219 b",2010,"Radial Velocity"
"HD 97658 b",2010,"Radial Velocity"
"Kepler-8 b",2010,"Transit"
"Kepler-9 d",2010,"Transit"
"Kepler-10 b",2011,"Transit"
"HD 99706 b",2011,"Radial Velocity"
"HD 156279 b",2011,"Radial Velocity"
"Kepler-34 b",2011,"Transit"
"Kepler-42 b",2011,"Transit"
"UZ For b",2011,"Eclipse Timing Variations"
"WASP-35 b",2011,"Transit"
"HD 152581 b",2011,"Radial Velocity"
"PSR J1719-1438 b",2011,"Pulsar Timing"
"Kepler-33 c",2011,"Transit"
"HAT-P-31 b",2011,"Transit"
"HU Aqr AB b",2011,"Eclipse Timing Variations"
"Kepler-19 c",2011,"Transit Timing Variations"
"HAT-P-28 b",2011,"Transit"
"HD 18742 b",2011,"Radial Velocity"
"HD 33142 b",2011,"Radial Velocity"
"HIP 57274 b",2011,"Radial Velocity"
"MOA-2009-BLG-266L b",2011,"Microlensing"
"Kepler-23 b",2011,"Transit"
"Kepler-27 c",2011,"Transit"
"WASP-50 b",2011,"Transit"
"Kepler-33 e",2011,"Transit"
"Kepler-25 c",2011,"Transit"
"HD 5891 b",2011,"Radial Velocity"
"HD 217786 b",2011,"Radial Velocity"
"Kepler-26 b",2011,"Transit"
"HD 192310 c",2011,"Radial Velocity"
"CoRoT-23 b",2011,"Transit"
"KOI-55 b",2011,"Orbital Brightness Modulation"
"HD 137388 b",2011,"Radial Velocity"
"Kepler-39 b",2011,"Transit"
"Kepler-28 b",2011,"Transit"
"WASP-44 b",2011,"Transit"
"CoRoT-17 b",2011,"Transit"
"Kepler-33 b",2011,"Transit"
"Kepler-42 c",2011,"Transit"
"HD 142245 b",2011,"Radial Velocity"
"HD 222155 b",2011,"Radial Velocity"
"HD 158038 b",2011,"Radial Velocity"
"Kepler-25 b",2011,"Transit"
"HD 28678 b",2011,"Radial Velocity"
"Kepler-19 b",2011,"Transit"
"HD 106270 b",2011,"Radial Velocity"
"7 CMa b",2011,"Radial Velocity"
"HD 96127 b",2011,"Radial Velocity"
"HD 240237 b",2011,"Radial Velocity"
"WASP-39 b",2011,"Transit"
"WASP-48 b",2011,"Transit"
"WASP-43 b",2011,"Transit"
"HIP 57274 d",2011,"Radial Velocity"
"Kepler-20 e",2011,"Transit"
"Kepler-20 b",2011,"Transit"
"Kepler-29 c",2011,"Transit"
"Kepler-32 b",2011,"Transit"
"Kepler-33 d",2011,"Transit"
"WASP-36 b",2011,"Transit"
"WASP-46 b",2011,"Transit"
"Kepler-43 b",2011,"Transit"
"Kepler-27 b",2011,"Transit"
"Kepler-28 c",2011,"Transit"
"HD 102329 b",2011,"Radial Velocity"
"HD 108863 b",2011,"Radial Velocity"
"HD 204941 b",2011,"Radial Velocity"
"KOI-13 b",2011,"Transit"
"HAT-P-30 b",2011,"Transit"
"HAT-P-36 b",2011,"Transit"
"BD+48 738 b",2011,"Radial Velocity"
"CoRoT-16 b",2011,"Transit"
"CoRoT-20 b",2011,"Transit"
"WASP-45 b",2011,"Transit"
"UZ For c",2011,"Eclipse Timing Variations"
"GJ 667 C b",2011,"Radial Velocity"
"GJ 667 C c",2011,"Radial Velocity"
"Kepler-20 f",2011,"Transit"
"Kepler-24 c",2011,"Transit"
"Kepler-29 b",2011,"Transit"
"HD 22781 b",2011,"Radial Velocity"
"Kepler-12 b",2011,"Transit"
"Kepler-18 c",2011,"Transit"
"Kepler-16 b",2011,"Transit"
"Kepler-22 b",2011,"Transit"
"Kepler-20 c",2011,"Transit"
"HD 116029 b",2011,"Radial Velocity"
"HD 192310 b",2011,"Radial Velocity"
"HD 20794 d",2011,"Radial Velocity"
"HD 132563 b",2011,"Radial Velocity"
"CoRoT-18 b",2011,"Transit"
"CoRoT-19 b",2011,"Transit"
"HU Aqr AB c",2011,"Eclipse Timing Variations"
"HD 82886 b",2011,"Radial Velocity"
"Kepler-45 b",2011,"Transit"
"HD 220773 b",2011,"Radial Velocity"
"Kepler-20 d",2011,"Transit"
"HAT-P-34 b",2011,"Transit"
"HAT-P-27 b",2011,"Transit"
"HAT-P-29 b",2011,"Transit"
"NY Vir b",2011,"Eclipse Timing Variations"
"Qatar-2 b",2011,"Transit"
"TrES-5 b",2011,"Transit"
"Kepler-35 b",2011,"Transit"
"Kepler-44 b",2011,"Transit"
"Kepler-31 b",2011,"Transit"
"Kepler-24 b",2011,"Transit"
"Kepler-26 c",2011,"Transit"
"Kepler-15 b",2011,"Transit"
"Kepler-17 b",2011,"Transit"
"Kepler-18 b",2011,"Transit"
"Kepler-33 f",2011,"Transit"
"HD 1502 b",2011,"Radial Velocity"
"HD 85512 b",2011,"Radial Velocity"
"HD 96063 b",2011,"Radial Velocity"
"HD 98219 b",2011,"Radial Velocity"
"HIP 5158 c",2011,"Radial Velocity"
"HIP 57274 c",2011,"Radial Velocity"
"Kepler-10 c",2011,"Transit"
"Kepler-23 c",2011,"Transit"
"Kepler-31 c",2011,"Transit"
"Kepler-18 d",2011,"Transit"
"HD 20794 b",2011,"Radial Velocity"
"HAT-P-33 b",2011,"Transit"
"HD 100655 b",2011,"Radial Velocity"
"Kepler-41 b",2011,"Transit"
"Kepler-42 d",2011,"Transit"
"Kepler-14 b",2011,"Transit"
"HD 20794 c",2011,"Radial Velocity"
"Kepler-32 c",2011,"Transit"
"HD 7199 b",2011,"Radial Velocity"
"KOI-55 c",2011,"Orbital Brightness Modulation"
"HD 79498 b",2011,"Radial Velocity"
"WD 0806-661 b",2011,"Imaging"
"CFBDSIR J145829+101343 b",2011,"Imaging"
"GJ 433 b",2011,"Radial Velocity"
"HAT-P-37 b",2011,"Transit"
"HD 131496 b",2011,"Radial Velocity"
"HD 7449 b",2011,"Radial Velocity"
"HD 30856 b",2011,"Radial Velocity"
"HAT-P-32 b",2011,"Transit"
"HAT-P-35 b",2011,"Transit"
"HD 220689 b",2012,"Radial Velocity"
