pl_name,discoverymethod,disc_year
"HD 215152 d","Radial Velocity",2018
"AB Pic b","Imaging",2005
"GJ 9827 d","Transit",2017
"HAT-P-12 b","Transit",2009
"EPIC 246851721 b","Transit",2018
"CFBDSIR J145829+101343 b","Imaging",2011
"CoRoT-14 b","Transit",2010
"EPIC 206024342 b","Transit",2019
"EPIC 206215704 b","Transit",2019
"EPIC 212297394 b","Transit",2019
"EPIC 212499991 b","Transit",2019
"EPIC 212737443 c","Transit",2019
"GJ 180 c","Radial Velocity",2014
"GJ 229 b","Radial Velocity",2014
"GJ 3138 d","Radial Velocity",2017
"GJ 3470 b","Radial Velocity",2012
"HD 134060 c","Radial Velocity",2019
"HD 136352 b","Radial Velocity",2019
"GJ 433 b","Radial Velocity",2011
"GJ 433 d","Radial Velocity",2020
"GJ 436 b","Radial Velocity",2004
"GJ 9827 c","Transit",2017
"HAT-P-13 c","Radial Velocity",2009
"HAT-P-14 b","Transit",2010
"HAT-P-37 b","Transit",2011
"CoRoT-30 b","Transit",2020
"HAT-P-40 b","Transit",2012
"HAT-P-51 b","Transit",2015
"HATS-12 b","Transit",2016
"HATS-49 b","Transit",2020
"HATS-54 b","Transit",2019
"HD 10180 d","Radial Velocity",2010
"HD 102272 b","Radial Velocity",2008
"HD 42618 b","Radial Velocity",2016
"HD 110014 b","Radial Velocity",2009
"HD 131496 b","Radial Velocity",2011
"BD-17 63 b","Radial Velocity",2008
"CoRoT-13 b","Transit",2010
"EPIC 201754305 d","Transit",2019
"EPIC 201841433 b","Transit",2019
"HD 7449 b","Radial Velocity",2011
"HD 37605 b","Radial Velocity",2004
"HD 40307 d","Radial Velocity",2009
"HD 75289 b","Radial Velocity",1999
"HD 73526 c","Radial Velocity",2005
"HD 46375 b","Radial Velocity",2000
"HD 7924 c","Radial Velocity",2015
"HD 23127 b","Radial Velocity",2006
"HD 233832 b","Radial Velocity",2018
"HD 238090 b","Radial Velocity",2020
"HD 160691 b","Radial Velocity",2000
"HD 30856 b","Radial Velocity",2011
"HD 212301 b","Radial Velocity",2005
"HD 213240 b","Radial Velocity",2001
"HD 213885 b","Transit",2019
"HD 215497 b","Radial Velocity",2009
"HD 216437 b","Radial Velocity",2002
"HAT-P-32 b","Transit",2011
"HAT-P-35 b","Transit",2011
"HD 219666 b","Transit",2018
"DMPP-3 A b","Radial Velocity",2019
"HATS-45 b","Transit",2018
"HATS-48 A b","Transit",2020
"HD 106252 b","Radial Velocity",2002
"HD 110113 b","Transit",2021
"HD 27894 c","Radial Velocity",2017
"HD 28254 b","Radial Velocity",2010
"HD 13808 b","Radial Velocity",2021
"HD 4208 b","Radial Velocity",2001
"HD 68988 b","Radial Velocity",2001
"HD 69830 b","Radial Velocity",2006
"HD 180053 b","Radial Velocity",2018
"HD 18015 b","Radial Velocity",2018
"HD 181234 b","Radial Velocity",2019
"Kepler-6 b","Transit",2009
"Kepler-491 b","Transit",2016
"HD 181342 b","Radial Velocity",2009
"HD 181433 b","Radial Velocity",2008
"HD 183263 b","Radial Velocity",2004
"HD 187123 c","Radial Velocity",2008
"HD 72892 b","Radial Velocity",2016
"HD 202772 A b","Transit",2019
"HD 203030 b","Imaging",2006
"HD 205739 b","Radial Velocity",2008
"HD 20794 c","Radial Velocity",2011
"HD 20868 b","Radial Velocity",2008
"HD 211810 b","Radial Velocity",2018
"Kepler-32 c","Transit",2011
"Kepler-165 c","Transit",2014
"Kepler-197 d","Transit",2014
"HD 45364 c","Radial Velocity",2008
"HD 4732 c","Radial Velocity",2012
"HD 21411 b","Radial Velocity",2019
"HD 73526 b","Radial Velocity",2002
"HD 73534 b","Radial Velocity",2008
"HD 81040 b","Radial Velocity",2005
"HD 64114 b","Radial Velocity",2019
"HD 219134 f","Radial Velocity",2015
"HD 220842 b","Radial Velocity",2016
"HD 221416 b","Transit",2019
"HD 221585 b","Radial Velocity",2016
"HD 23596 b","Radial Velocity",2003
"HD 238914 b","Radial Velocity",2018
"HD 76920 b","Radial Velocity",2017
"HD 20781 b","Radial Velocity",2019
"HD 67087 c","Radial Velocity",2015
"HD 65216 c","Radial Velocity",2013
"HD 290327 b","Radial Velocity",2009
"HD 30562 b","Radial Velocity",2009
"HD 4313 b","Radial Velocity",2009
"HD 330075 b","Radial Velocity",2004
"HD 31253 b","Radial Velocity",2010
"HD 31527 b","Radial Velocity",2019
"GJ 1132 c","Radial Velocity",2018
"HD 45364 b","Radial Velocity",2008
"K2-219 b","Transit",2018
"HD 40307 b","Radial Velocity",2009
"G 9-40 b","Transit",2019
"HD 12661 b","Radial Velocity",2000
"HD 4203 b","Radial Velocity",2001
"HD 106515 A b","Radial Velocity",2012
"HD 220689 b","Radial Velocity",2012
"Kepler-773 b","Transit",2016
"HD 49674 b","Radial Velocity",2002
"16 Cyg B b","Radial Velocity",1996
"30 Ari B b","Radial Velocity",2009
"HD 62509 b","Radial Velocity",2006
"HD 208527 b","Radial Velocity",2012
"BD-06 1339 b","Radial Velocity",2013
"47 UMa c","Radial Velocity",2001
"HD 191939 d","Transit",2020
"HD 7199 b","Radial Velocity",2011
"SR 12 AB c","Imaging",2010
"KOI-55 c","Orbital Brightness Modulation",2011
"HD 75898 b","Radial Velocity",2007
"HD 79498 b","Radial Velocity",2011
"WASP-42 b","Transit",2012
"Kepler-751 b","Transit",2016
"CoRoT-2 b","Transit",2008
"eps Eri b","Radial Velocity",2000
"HD 171238 b","Radial Velocity",2009
"HD 173416 b","Radial Velocity",2008
"Kepler-782 b","Transit",2016
"HD 77338 b","Radial Velocity",2012
"GJ 3021 b","Radial Velocity",2000
"GJ 3634 b","Radial Velocity",2010
"GJ 674 b","Radial Velocity",2007
"HD 37605 c","Radial Velocity",2012
"GJ 876 e","Radial Velocity",2010
"GQ Lup b","Imaging",2004
"GSC 06214-00210 b","Imaging",2010
"HD 190360 c","Radial Velocity",2005
"HD 190647 b","Radial Velocity",2007
"BD+15 2940 b","Radial Velocity",2013
"HD 95086 b","Imaging",2013
"Kepler-123 b","Transit",2014
"HAT-P-19 b","Transit",2010
"HD 200964 c","Radial Velocity",2010
"HATS-36 b","Transit",2018
"HAT-P-22 b","Transit",2010
"HD 206610 b","Radial Velocity",2009
"HD 20794 b","Radial Velocity",2011
"OGLE2-TR-L9 b","Transit",2008
"OGLE-TR-113 b","Transit",2004
"Kepler-166 c","Transit",2014
"K2-295 b","Transit",2018
"HAT-P-33 b","Transit",2011
"HD 100655 b","Radial Velocity",2011
"HD 210277 b","Radial Velocity",1998
"HD 21693 b","Radial Velocity",2019
"HD 10180 f","Radial Velocity",2010
"HD 10180 g","Radial Velocity",2010
"WASP-16 b","Transit",2009
"K2-263 b","Transit",2018
"HD 176986 c","Radial Velocity",2017
"HATS-25 b","Transit",2016
"HD 147379 b","Radial Velocity",2017
"GJ 411 b","Radial Velocity",2019
"GJ 15 A b","Radial Velocity",2014
"HD 14067 b","Radial Velocity",2014
"GJ 3998 b","Radial Velocity",2016
"K2-294 b","Transit",2019
"HD 92987 b","Radial Velocity",2019
"GJ 3293 c","Radial Velocity",2015
"HR 2562 b","Imaging",2016
"K2-154 b","Transit",2018
"K2-155 d","Transit",2018
"TOI-216.01","Transit",2019
"HD 145934 b","Radial Velocity",2015
"WASP-92 b","Transit",2016
"WASP-93 b","Transit",2016
"HD 111998 b","Radial Velocity",2016
"OGLE-2017-BLG-0173L b","Microlensing",2018
"HATS-40 b","Transit",2018
"HD 1605 c","Radial Velocity",2015
"Kepler-265 c","Transit",2014
"Kepler-56 d","Radial Velocity",2016
"HD 9174 b","Radial Velocity",2016
"24 Boo b","Radial Velocity",2018
"Kepler-756 b","Transit",2016
"HATS-9 b","Transit",2015
"HD 165155 b","Radial Velocity",2016
"OGLE-2017-BLG-1140L b","Microlensing",2018
"K2-239 b","Transit",2018
"EPIC 201497682 b","Transit",2019
"EPIC 206032309 b","Transit",2019
"HATS-8 b","Transit",2015
"OGLE-2014-BLG-0676L b","Microlensing",2016
"HD 180617 b","Radial Velocity",2018
"CI Tau b","Radial Velocity",2019
"K2-19 c","Transit",2015
"HD 30177 c","Radial Velocity",2016
"EPIC 220674823 b","Transit",2016
"WASP-53 b","Transit",2017
"K2-252 b","Transit",2018
"HATS-55 b","Transit",2019
"HATS-57 b","Transit",2019
"bet Pic c","Radial Velocity",2019
"HAT-P-56 b","Transit",2015
"TRAPPIST-1 h","Transit",2017
"GJ 3138 b","Radial Velocity",2017
"HD 148164 b","Radial Velocity",2018
"PDS 70 c","Imaging",2019
"Kepler-65 e","Radial Velocity",2019
"K2-22 b","Transit",2015
"HD 24064 b","Radial Velocity",2015
"K2-266 c","Transit",2018
"KMT-2017-BLG-0165L b","Microlensing",2018
"Kepler-849 b","Transit",2016
"WASP-135 b","Transit",2015
"HIP 67537 b","Radial Velocity",2017
"LkCa 15 c","Imaging",2015
"MXB 1658-298 b","Eclipse Timing Variations",2017
"MOA-2016-BLG-319L b","Microlensing",2018
"MOA-2011-BLG-291L b","Microlensing",2018
"HD 33142 c","Radial Velocity",2018
"HIP 91258 b","Radial Velocity",2013
"BD+15 2375 b","Radial Velocity",2016
"K2-117 c","Transit",2017
"K2-125 b","Transit",2017
"CoRoT-21 b","Transit",2012
"HD 14787 b","Radial Velocity",2018
"NGC 2682 YBP 1514 b","Radial Velocity",2014
"GJ 1148 c","Radial Velocity",2017
"HATS-61 b","Transit",2018
"CoRoT-26 b","Transit",2013
"K2-29 b","Transit",2016
"OGLE-2012-BLG-0724L b","Microlensing",2016
"NGTS-1 b","Transit",2017
"K2-136 d","Transit",2017
"HD 92788 b","Radial Velocity",2000
"HAT-P-45 b","Transit",2014
"bet Cnc b","Radial Velocity",2014
"mu Leo b","Radial Velocity",2014
"HD 214823 b","Radial Velocity",2016
"Kepler-1647 b","Transit",2016
"HD 111591 b","Radial Velocity",2017
"Kepler-80 g","Transit",2017
"Kepler-419 c","Transit Timing Variations",2014
"HD 150706 b","Radial Velocity",2012
"VHS J125601.92-125723.9 b","Imaging",2015
"HD 112640 b","Radial Velocity",2020
"Kepler-121 c","Transit",2014
"Kepler-130 b","Transit",2014
"Kepler-1048 b","Transit",2016
"Kepler-102 d","Transit",2014
"Kepler-821 b","Transit",2016
"Kepler-820 b","Transit",2016
"Kepler-162 b","Transit",2014
"Kepler-183 b","Transit",2014
"2MASS J02192210-3925225 b","Imaging",2015
"Kepler-1009 b","Transit",2016
"TOI-1130 b","Transit",2020
"Kepler-819 b","Transit",2016
"Kepler-811 b","Transit",2016
"Kepler-286 b","Transit",2014
"Kepler-214 b","Transit",2014
"Kepler-232 c","Transit",2014
"Kepler-961 b","Transit",2016
"Kepler-985 b","Transit",2016
"WASP-176 b","Transit",2020
"Kepler-804 b","Transit",2016
"Kepler-330 c","Transit",2014
"GJ 338 B b","Radial Velocity",2020
"Kepler-732 c","Transit",2016
"WASP-12 b","Transit",2008
"Kepler-1019 b","Transit",2016
"HD 89744 b","Radial Velocity",1999
"Kepler-842 b","Transit",2016
"Kepler-56 c","Transit",2012
"Kepler-279 c","Transit",2013
"Kepler-791 b","Transit",2016
"Kepler-486 b","Transit",2016
"Kepler-127 d","Transit",2014
"Kepler-41 b","Transit",2011
"Kepler-786 b","Transit",2016
"Kepler-465 b","Transit",2016
"Kepler-960 b","Transit",2016
"Kepler-409 b","Transit",2014
"GJ 2056 b","Radial Velocity",2020
"2MASS J01033563-5515561 AB b","Imaging",2013
"KMT-2019-BLG-1339L b","Microlensing",2020
"Kepler-82 e","Transit",2014
"Kepler-247 b","Transit",2014
"Kepler-42 d","Transit",2011
"Kepler-1673 b","Transit",2020
"Kepler-1041 b","Transit",2016
"K2-322 b","Transit",2020
"K2-323 b","Transit",2020
"Kepler-458 c","Transit",2016
"Kepler-962 b","Transit",2016
"TOI-763 b","Transit",2020
"TOI-540 b","Transit",2020
"Kepler-303 b","Transit",2014
"Kepler-916 b","Transit",2016
"KOI-1783.01","Transit",2020
"Kepler-334 c","Transit",2014
"GJ 3473 b","Transit",2020
"EPIC 201757695.02","Transit",2020
"Kepler-861 b","Transit",2016
"Kepler-1670 b","Transit",2020
"Kepler-325 b","Transit",2014
"WASP-186 b","Transit",2020
"K2-111 c","Radial Velocity",2020
"Kepler-14 b","Transit",2011
"Kepler-104 c","Transit",2014
"Kepler-300 c","Transit",2014
"GJ 27.1 b","Radial Velocity",2014
"HD 102365 b","Radial Velocity",2010
"Kepler-306 c","Transit",2014
"Kepler-1034 b","Transit",2016
"7 CMa c","Radial Velocity",2019
"WASP-66 b","Transit",2012
"HD 108236 e","Transit",2020
"Kepler-488 b","Transit",2016
"KOI-1599.01","Transit",2019
"Kepler-49 c","Transit",2012
"Kepler-317 b","Transit",2014
"Kepler-1671 b","Transit",2020
"HD 220197 b","Radial Velocity",2018
"Kepler-299 c","Transit",2014
"Kepler-295 b","Transit",2014
"Kepler-311 b","Transit",2014
"Kepler-759 b","Transit",2016
"Kepler-906 b","Transit",2016
"Kepler-955 b","Transit",2016
"Kepler-1672 b","Transit",2020
"HD 110082 b","Transit",2021
"Kepler-84 c","Transit",2012
"Kepler-338 b","Transit",2014
"Kepler-1221 b","Transit",2016
"Kepler-384 b","Transit",2014
"Kepler-221 d","Transit",2014
"Kepler-1348 b","Transit",2016
"Kepler-329 b","Transit",2014
"Kepler-132 d","Transit",2014
"Kepler-385 c","Transit",2014
"Kepler-138 d","Transit",2014
"Kepler-337 b","Transit",2014
"Kepler-23 c","Transit",2011
"Kepler-1073 b","Transit",2016
"Kepler-79 d","Transit",2014
"Kepler-446 b","Transit",2015
"Kepler-106 d","Transit",2014
"Kepler-81 d","Transit",2014
"Kepler-480 b","Transit",2016
"Kepler-31 c","Transit",2011
"Kepler-527 b","Transit",2016
"Kepler-262 b","Transit",2014
"Kepler-1075 b","Transit",2016
"Kepler-51 b","Transit",2012
"Kepler-18 d","Transit",2011
"Kepler-522 b","Transit",2016
"Kepler-436 c","Transit",2016
"Kepler-1384 b","Transit",2016
"Kepler-414 c","Transit Timing Variations",2014
"Kepler-288 d","Transit",2014
"Kepler-1276 b","Transit",2016
"Kepler-252 b","Transit",2014
"Kepler-401 c","Transit",2014
"Kepler-85 b","Transit",2012
"Kepler-1280 b","Transit",2016
"Kepler-392 b","Transit",2014
"Kepler-185 b","Transit",2014
"Kepler-755 c","Transit",2016
"Kepler-1457 b","Transit",2016
"Kepler-30 b","Transit",2012
"Kepler-417 c","Transit Timing Variations",2014
"Kepler-106 e","Transit",2014
"Kepler-1111 b","Transit",2016
"Kepler-187 b","Transit",2014
"Kepler-206 d","Transit",2014
"Kepler-345 b","Transit",2014
"Kepler-87 c","Transit",2013
"Kepler-1289 b","Transit",2016
"Kepler-353 b","Transit",2014
"Kepler-68 c","Transit",2013
"Kepler-285 c","Transit",2014
"Kepler-191 c","Transit",2014
"Kepler-366 c","Transit",2014
"Kepler-367 c","Transit",2014
"Kepler-1419 b","Transit",2016
"Kepler-1422 b","Transit",2016
"Kepler-825 c","Transit",2016
"Kepler-298 c","Transit",2014
"Kepler-1307 b","Transit",2016
"Kepler-535 b","Transit",2016
"Kepler-1681 b","Transit",2020
"Kepler-136 b","Transit",2014
"Kepler-324 b","Transit",2014
"Kepler-328 b","Transit",2013
"Kepler-384 c","Transit",2014
"Kepler-1194 b","Transit",2016
"Kepler-1591 b","Transit",2016
"Kepler-400 b","Transit",2014
"Kepler-1211 b","Transit",2016
"Kepler-206 b","Transit",2014
"Kepler-84 e","Transit",2014
"Kepler-1135 b","Transit",2016
"Kepler-1216 b","Transit",2016
"Kepler-1217 b","Transit",2016
"Kepler-1336 b","Transit",2016
"Kepler-1689 b","Transit",2020
"Kepler-250 b","Transit",2014
"Kepler-1151 b","Transit",2016
"Kepler-1462 b","Transit",2016
"Kepler-1466 b","Transit",2016
"Kepler-1470 b","Transit",2016
"Kepler-641 b","Transit",2016
"Kepler-487 b","Transit",2016
"Kepler-1604 b","Transit",2016
"Kepler-1549 b","Transit",2016
"Kepler-1594 b","Transit",2016
"Kepler-1475 b","Transit",2016
"K2-35 b","Transit",2016
"Kepler-154 f","Transit",2016
"Kepler-239 b","Transit",2014
"Kepler-184 b","Transit",2014
"Kepler-713 b","Transit",2016
"Kepler-1418 b","Transit",2016
"Kepler-1488 b","Transit",2016
"Kepler-121 b","Transit",2014
"Kepler-248 c","Transit",2014
"Kepler-385 d","Transit",2020
"Kepler-1504 b","Transit",2016
"Kepler-635 b","Transit",2016
"Kepler-718 b","Transit",2016
"Kepler-386 b","Transit",2014
"Kepler-1245 c","Transit",2016
"Kepler-953 c","Transit",2016
"K2-170 c","Transit",2018
"Kepler-20 g","Radial Velocity",2016
"Kepler-390 c","Transit",2014
"Kepler-599 b","Transit",2016
"Kepler-151 b","Transit",2014
"Kepler-143 b","Transit",2014
"Kepler-723 b","Transit",2016
"Kepler-200 b","Transit",2014
"Kepler-582 b","Transit",2016
"Kepler-342 e","Transit",2016
"K2-180 b","Transit",2018
"Kepler-1596 b","Transit",2016
"Kepler-235 b","Transit",2014
"Kepler-347 c","Transit",2014
"Kepler-698 b","Transit",2016
"Kepler-1482 b","Transit",2016
"Kepler-109 b","Transit",2014
"Kepler-1608 b","Transit",2016
"Kepler-700 b","Transit",2016
"Kepler-1065 c","Transit",2016
"Kepler-1518 b","Transit",2016
"Kepler-166 b","Transit",2014
"Kepler-1610 b","Transit",2016
"Kepler-689 b","Transit",2016
"Kepler-160 d","Transit Timing Variations",2020
"Kepler-557 b","Transit",2016
"Kepler-192 b","Transit",2014
"K2-269 b","Transit",2018
"Kepler-690 b","Transit",2016
"Kepler-628 b","Transit",2016
"Kepler-1600 b","Transit",2016
"KOI-142 b","Transit",2013
"Kepler-1326 b","Transit",2016
"Kepler-621 b","Transit",2016
"Kepler-1620 b","Transit",2016
"Kepler-1699 b","Transit",2020
"Kepler-705 b","Transit",2016
"Kepler-1646 b","Transit",2016
"Kepler-511 b","Transit",2016
"Kepler-1539 b","Transit",2016
"Kepler-742 b","Transit",2016
"Kepler-452 b","Transit",2015
"Kepler-654 b","Transit",2016
"Kepler-164 b","Transit",2014
"Kepler-1448 b","Transit",2016
"Kepler-79 b","Transit",2012
"Kepler-150 c","Transit",2014
"Kepler-1451 b","Transit",2016
"Kepler-243 b","Transit",2014
"Kepler-623 b","Transit",2016
"KOI-12 b","Transit",2015
"Kepler-1592 b","Transit",2016
"Kepler-438 b","Transit",2015
"Kepler-354 c","Transit",2014
"Kepler-460 c","Transit",2016
"Kepler-207 d","Transit",2014
"Kepler-164 c","Transit",2014
"HD 160691 d","Radial Velocity",2004
"HD 164509 b","Radial Velocity",2010
"HD 219134 g","Radial Velocity",2015
"Kepler-574 b","Transit",2016
"Kepler-9 c","Transit",2010
"Kepler-146 c","Transit",2014
"HD 17156 b","Radial Velocity",2007
"HAT-P-17 c","Radial Velocity",2010
"HAT-P-2 b","Transit",2007
"HAT-P-20 b","Transit",2010
"HD 17674 b","Radial Velocity",2017
"HD 177830 c","Radial Velocity",2010
"HD 179079 b","Radial Velocity",2008
"HD 183263 c","Radial Velocity",2008
"Kepler-247 d","Transit",2014
"Kepler-55 b","Transit",2012
"HD 185269 b","Radial Velocity",2006
"Kepler-33 f","Transit",2011
"GJ 486 b","Radial Velocity",2021
"HATS-44 b","Transit",2018
"HD 190984 b","Radial Velocity",2009
"HD 10180 c","Radial Velocity",2010
"HD 108236 d","Transit",2020
"HD 204313 b","Radial Velocity",2010
"HD 206255 b","Radial Velocity",2019
"HD 113538 b","Radial Velocity",2010
"HD 11964 b","Radial Velocity",2005
"HD 20781 c","Radial Velocity",2019
"K2-100 b","Transit",2016
"Kepler-672 b","Transit",2016
"HD 125595 b","Radial Velocity",2009
"HD 209458 b","Radial Velocity",1999
"HD 133131 A b","Radial Velocity",2016
"HD 212771 b","Radial Velocity",2009
"K2-279 b","Transit",2018
"HD 141399 e","Radial Velocity",2014
"HD 147018 b","Radial Velocity",2009
"HD 1502 b","Radial Velocity",2011
"HD 99492 b","Radial Velocity",2004
"Kepler-1649 c","Transit",2020
"HD 155358 b","Radial Velocity",2007
"HD 74156 b","Radial Velocity",2003
"K2-238 b","Transit",2018
"K2-204 b","Transit",2018
"K2-215 b","Transit",2018
"HR 858 b","Transit",2019
"K2-18 b","Transit",2015
"K2-24 b","Transit",2016
"K2-240 c","Transit",2018
"K2-240 b","Transit",2018
"K2-217 b","Transit",2018
"K2-219 d","Transit",2018
"K2-224 b","Transit",2018
"K2-231 b","Transit",2018
"HIP 79431 b","Radial Velocity",2009
"HIP 105854 b","Radial Velocity",2014
"K2-186 b","Transit",2018
"HD 7924 d","Radial Velocity",2015
"HIP 109384 b","Radial Velocity",2016
"HIP 116454 b","Transit",2014
"HIP 5158 b","Radial Velocity",2009
"HD 8574 b","Radial Velocity",2002
"HD 86950 b","Radial Velocity",2016
"HD 89307 b","Radial Velocity",2009
"HD 90156 b","Radial Velocity",2009
"HD 95089 b","Radial Velocity",2009
"K2-105 b","Transit",2017
"K2-199 c","Transit",2018
"K2-108 b","Transit",2017
"HD 99109 b","Radial Velocity",2005
"HIP 41378 b","Transit",2016
"HD 85512 b","Radial Velocity",2011
"HD 96992 b","Radial Velocity",2021
"HD 96063 b","Radial Velocity",2011
"HD 98219 b","Radial Velocity",2011
"HIP 65407 b","Radial Velocity",2016
"HIP 48714 b","Radial Velocity",2020
"HIP 54373 b","Radial Velocity",2019
"HD 109246 b","Radial Velocity",2010
"HIP 5158 c","Radial Velocity",2011
"HIP 57274 c","Radial Velocity",2011
"HIP 71135 b","Radial Velocity",2019
"HIP 65426 b","Imaging",2017
"HR 810 b","Radial Velocity",1999
"HR 8799 c","Imaging",2008
"K2-114 b","Transit",2017
"K2-119 b","Transit",2017
"K2-121 b","Transit",2017
"K2-122 b","Transit",2017
"K2-118 b","Transit",2017
"K2-124 b","Transit",2017
"K2-137 b","Transit",2017
"HIP 107772 b","Radial Velocity",2020
"HIP 65407 c","Radial Velocity",2016
"HIP 67522 b","Transit",2020
"K2-146 b","Transit",2018
"K2-149 b","Transit",2018
"K2-111 b","Transit",2017
"K2-133 d","Transit",2017
"K2-117 b","Transit",2017
"HD 108341 b","Radial Velocity",2014
"K2-138 c","Transit",2017
"K2-152 b","Transit",2018
"K2-155 b","Transit",2018
"K2-157 b","Transit",2018
"HD 108874 c","Radial Velocity",2005
"K2-206 b","Transit",2018
"IC 4651 9122 b","Radial Velocity",2018
"K2-153 b","Transit",2018
"K2-164 b","Transit",2018
"K2-165 d","Transit",2018
"HIP 70849 b","Radial Velocity",2009
"HIP 74890 b","Radial Velocity",2016
"K2-232 b","Transit",2018
"K2-163 b","Transit",2018
"K2-17 b","Transit",2015
"K2-254 b","Transit",2018
"K2-27 b","Transit",2016
"K2-187 b","Transit",2018
"K2-129 b","Transit",2017
"HIP 107773 b","Radial Velocity",2015
"K2-160 b","Transit",2018
"HIP 65 A b","Transit",2020
"K2-172 b","Transit",2018
"K2-173 b","Transit",2018
"Kepler-1050 c","Transit",2016
"K2-189 c","Transit",2018
"K2-19 b","Transit",2015
"K2-193 b","Transit",2018
"K2-194 b","Transit",2018
"K2-251 b","Transit",2018
"K2-249 b","Transit",2018
"K2-199 b","Transit",2018
"K2-201 c","Transit",2018
"K2-203 b","Transit",2018
"HD 99706 c","Radial Velocity",2018
"K2-237 b","Transit",2018
"K2-198 d","Transit",2019
"K2-216 b","Transit",2018
"K2-222 b","Transit",2018
"K2-179 b","Transit",2018
"Kepler-10 c","Transit",2011
"KELT-6 b","Transit",2014
"KELT-7 b","Transit",2015
"KELT-1 b","Transit",2012
"Kepler-1430 b","Transit",2016
"Kepler-1084 b","Transit",2016
"KIC 3558849 b","Transit",2015
"KIC 9663113 b","Transit",2015
"K2-243 c","Transit",2018
"K2-264 b","Transit",2018
"K2-264 c","Transit",2018
"K2-266 d","Transit",2018
"K2-278 b","Transit",2018
"K2-68 b","Transit",2016
"K2-7 b","Transit",2015
"K2-275 b","Transit",2018
"K2-282 b","Transit",2018
"KELT-15 b","Transit",2016
"Kepler-1023 b","Transit",2016
"K2-242 b","Transit",2018
"K2-247 b","Transit",2018
"K2-247 c","Transit",2018
"K2-286 b","Transit",2018
"K2-72 b","Transit",2016
"K2-201 b","Transit",2018
"K2-13 b","Transit",2015
"K2-159 b","Transit",2018
"KMT-2019-BLG-1953L b","Microlensing",2020
"KOI-217 b","Transit",2010
"K2-233 c","Transit",2018
"K2-290 b","Transit",2019
"K2-290 c","Transit",2019
"K2-291 b","Transit",2019
"K2-318 b","Transit",2020
"K2-32 c","Transit",2016
"K2-32 d","Transit",2016
"K2-320 b","Transit",2020
"K2-266 e","Transit",2018
"K2-74 b","Transit",2016
"K2-166 b","Transit",2018
"K2-80 b","Transit",2016
"K2-80 c","Transit",2016
"K2-28 b","Transit",2016
"K2-87 b","Transit",2016
"K2-37 c","Transit",2016
"K2-43 c","Transit",2019
"KOI-94 b","Transit",2013
"KMT-2016-BLG-2364L b","Microlensing",2020
"K2-250 b","Transit",2018
"K2-48 b","Transit",2016
